Date,Description,Category,Amount,Balance
2026-03-01,Opening Balance,,0.00,147.83
2026-03-01,PAYDAY LOAN REPAYMENT - SPEEDY CASH,Debt,-180.00,-32.17
2026-03-01,OVERDRAFT FEE,Bank Fee,-35.00,-67.17
2026-03-02,DIRECT DEPOSIT - RETAIL WORKS INC,Income,1180.00,1112.83
2026-03-02,DOLLAR GENERAL #4821,Groceries,-24.67,1088.16
2026-03-02,BOOST MOBILE PAYMENT,Phone,-50.00,1038.16
2026-03-03,RENT - SUNRISE PROPERTIES LLC,Housing,-875.00,163.16
2026-03-03,DOLLAR TREE #0921,Groceries,-12.50,150.66
2026-03-04,CIRCLE K #2041,Gas,-30.00,120.66
2026-03-04,MCDONALD'S F08821,Dining,-6.49,114.17
2026-03-05,OVERDRAFT FEE,Bank Fee,-35.00,79.17
2026-03-05,WALMART NEIGHBORHOOD MKT,Groceries,-41.83,37.34
2026-03-06,VENMO TRANSFER - MOM,Transfer,100.00,137.34
2026-03-06,DOLLAR GENERAL #4821,Groceries,-19.45,117.89
2026-03-07,CIRCLE K #2041,Gas,-25.00,92.89
2026-03-07,TACO BELL #0421,Dining,-7.85,85.04
2026-03-08,COINSTAR CASH REDEMPTION,Misc,28.43,113.47
2026-03-09,DOLLAR TREE #0921,Groceries,-14.25,99.22
2026-03-09,NETFLIX STREAMING,Entertainment,-15.49,83.73
2026-03-10,PAYDAY LOAN - SPEEDY CASH,Loan,200.00,283.73
2026-03-10,SPEEDY CASH ORIGINATION FEE,Fees,-30.00,253.73
2026-03-10,CIRCLE K #2041,Gas,-28.00,225.73
2026-03-11,MCDONALD'S F08821,Dining,-5.89,219.84
2026-03-12,WALMART NEIGHBORHOOD MKT,Groceries,-38.72,181.12
2026-03-13,DOLLAR GENERAL #4821,Groceries,-22.18,158.94
2026-03-14,CIRCLE K #2041,Gas,-30.00,128.94
2026-03-14,OVERTIME DIRECT DEPOSIT - RETAIL WORKS INC,Income,240.00,368.94
2026-03-14,TACO BELL #0421,Dining,-8.45,360.49
2026-03-15,PAYDAY LOAN REPAYMENT - SPEEDY CASH,Debt,-230.00,130.49
2026-03-15,DOLLAR TREE #0921,Groceries,-11.00,119.49
2026-03-16,DIRECT DEPOSIT - RETAIL WORKS INC,Income,1180.00,1299.49
2026-03-16,PROGRESS ENERGY ELECTRIC,Utilities,-98.00,1201.49
2026-03-16,COMCAST INTERNET,Utilities,-79.99,1121.50
2026-03-17,DOLLAR GENERAL #4821,Groceries,-31.45,1090.05
2026-03-17,CIRCLE K #2041,Gas,-30.00,1060.05
2026-03-18,MCDONALD'S F08821,Dining,-7.29,1052.76
2026-03-18,AMAZON.COM PURCHASE,Shopping,-22.99,1029.77
2026-03-19,WALMART NEIGHBORHOOD MKT,Groceries,-56.44,973.33
2026-03-19,CVS PHARMACY #0281,Health,-14.87,958.46
2026-03-20,DOLLAR TREE #0921,Groceries,-8.00,950.46
2026-03-21,CIRCLE K #2041,Gas,-25.00,925.46
2026-03-21,TACO BELL #0421,Dining,-9.15,916.31
2026-03-22,CAR INSURANCE - PROGRESSIVE,Insurance,-142.00,774.31
2026-03-22,OVERDRAFT FEE,Bank Fee,-35.00,739.31
2026-03-23,VENMO TRANSFER - COWORKER,Transfer,-40.00,699.31
2026-03-23,DOLLAR GENERAL #4821,Groceries,-18.90,680.41
2026-03-24,CIRCLE K #2041,Gas,-30.00,650.41
2026-03-24,MCDONALD'S F08821,Dining,-6.49,643.92
2026-03-25,WALMART NEIGHBORHOOD MKT,Groceries,-44.23,599.69
2026-03-25,PAYDAY LOAN - SPEEDY CASH,Loan,150.00,749.69
2026-03-25,SPEEDY CASH ORIGINATION FEE,Fees,-25.00,724.69
2026-03-26,DOLLAR TREE #0921,Groceries,-13.00,711.69
2026-03-27,CIRCLE K #2041,Gas,-28.00,683.69
2026-03-28,TACO BELL #0421,Dining,-7.85,675.84
2026-03-29,DOLLAR GENERAL #4821,Groceries,-25.67,650.17
2026-03-30,DIRECT DEPOSIT - RETAIL WORKS INC,Income,1180.00,1830.17
2026-03-30,PAYDAY LOAN REPAYMENT - SPEEDY CASH,Debt,-175.00,1655.17
2026-03-31,CIRCLE K #2041,Gas,-30.00,1625.17
